,Name,Count
0,Electronic Arts,1356
1,Activision,985
2,Namco Bandai Games,939
3,Ubisoft,933
4,Konami Digital Entertainment,834
5,THQ,715
6,Nintendo,706
7,Sony Computer Entertainment,687
8,Sega,638
9,Take-Two Interactive,422
10,Capcom,386
11,Atari,367
12,Tecmo Koei,348
13,Warner Bros. Interactive Entertainment,235
14,Square Enix,234
15,Disney Interactive Studios,218
16,Unknown,201
17,Midway Games,198
18,Eidos Interactive,198
19,505 Games,191
20,Microsoft Game Studios,191
21,Acclaim Entertainment,186
22,D3Publisher,184
23,Vivendi Games,164
24,Codemasters,150
25,Idea Factory,133
26,Deep Silver,121
27,Nippon Ichi Software,106
28,Zoo Digital Publishing,104
29,Majesco Entertainment,92
30,LucasArts,90
31,Rising Star Games,87
32,Hudson Soft,81
33,Bethesda Softworks,76
34,Banpresto,73
35,Crave Entertainment,71
36,Atlus,67
37,Infogrames,62
38,5pb,62
39,Virgin Interactive,62
40,Focus Home Interactive,61
41,Ignition Entertainment,61
42,Marvelous Interactive,56
43,Empire Interactive,53
44,SquareSoft,52
45,Kadokawa Shoten,50
46,GT Interactive,45
47,PQube,45
48,Destineer,45
49,DTP Entertainment,44
50,Alchemist,43
51,MTV Games,41
52,Global Star,39
53,Takara Tomy,38
54,SouthPeak Games,37
55,Nordic Games,37
56,Spike,37
57,TDK Mediactive,36
58,3DO,36
59,BAM! Entertainment,35
60,Black Bean Games,34
61,Zoo Games,33
62,Game Factory,32
63,Psygnosis,32
64,Mindscape,31
65,Interplay,30
66,Enix Corporation,30
67,Kalypso Media,29
68,Prototype,29
69,Activision Value,29
70,FuRyu,28
71,Arc System Works,27
72,Telltale Games,27
73,Level 5,27
74,Little Orbit,26
75,Avanquest,26
76,Midas Interactive Entertainment,24
77,Jaleco,23
78,Universal Interactive,23
79,Paradox Interactive,23
80,Aqua Plus,23
81,SNK,22
82,Oxygen Interactive,22
83,JoWood Productions,22
84,Broccoli,22
85,Compile Heart,21
86,Kemco,21
87,ASCII Entertainment,20
88,Storm City Games,19
89,Taito,19
90,Titus,19
91,City Interactive,19
92,Success,19
93,Zushi Games,18
94,SNK Playmore,18
95,ChunSoft,18
96,Tomy Corporation,18
97,Natsume,18
98,O-Games,17
99,Rocket Company,17
100,Koch Media,17
101,DreamCatcher Interactive,17
102,SCi,17
103,UFO Interactive,16
104,Kadokawa Games,16
105,Takara,16
106,Imagineer,16
107,Mastiff,16
108,GSP,16
109,Falcom Corporation,16
110,Hasbro Interactive,16
111,PopCap Games,15
112,From Software,15
113,Ghostlight,15
114,Sony Computer Entertainment Europe,15
115,Milestone S.r.l.,15
116,Enterbrain,15
117,Ocean,14
118,Rondomedia,14
119,Quinrose,14
120,CyberFront,14
121,Conspiracy Entertainment,14
122,Playlogic Game Factory,14
123,System 3 Arcade Software,14
124,989 Studios,14
125,Ubisoft Annecy,14
126,Play It,14
127,Mastertronic,13
128,GungHo,13
129,Nobilis,13
130,Acquire,13
131,Human Entertainment,13
132,Gust,13
133,Bigben Interactive,13
134,XS Games,12
135,Metro 3D,12
136,Mattel Interactive,12
